epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6604,1.94806,2.96471,0.49994,1.92692,1.60555,0.63766,0.56971,0.50718,0.24237,0.70241,0.63627,0.63425,0.4706,1.94497,2.10928,0.18362,1.96127,1.67964,0.000552545,0.000552545,0.000552545
2,43.8681,1.64466,1.51317,0.3561,1.24019,1.3722,0.72591,0.71955,0.63327,0.29924,0.5715,0.52404,0.41962,0.28508,1.66368,4.2269,0.08419,1.91989,1.52606,0.00108993,0.00108993,0.00108993
3,62.9485,1.64259,1.36352,0.32406,1.22294,1.35479,0.71922,0.70726,0.73097,0.32492,0.75355,0.73713,0.7813,0.60649,1.64821,1.0259,0.06184,1.83628,1.50202,0.00160897,0.00160897,0.00160897
4,81.916,1.59676,1.16053,0.28631,1.18336,1.3295,0.73514,0.84535,0.81461,0.38954,0.76157,0.8742,0.88442,0.81586,1.54283,0.62251,0.06276,1.1464,1.37946,0.00158448,0.00158448,0.00158448
5,101.093,1.56745,0.99411,0.25276,1.12181,1.32425,0.82075,0.88381,0.8785,0.47052,0.85573,0.90304,0.91612,0.86168,1.43405,0.56486,0.05075,1.00155,1.31219,0.00155698,0.00155698,0.00155698
6,120.045,1.52287,0.84252,0.23254,1.09183,1.2918,0.88384,0.90385,0.9153,0.4986,0.87401,0.83253,0.88087,0.83541,1.36126,0.90926,0.06539,0.93784,1.26265,0.00152947,0.00152947,0.00152947
7,139.073,1.50754,0.82992,0.22164,1.06873,1.27769,0.85908,0.93269,0.92683,0.50338,0.88569,0.96154,0.95162,0.90302,1.40754,0.45923,0.05036,0.90776,1.27905,0.00150197,0.00150197,0.00150197
8,158.08,1.46527,0.67173,0.19902,1.02021,1.26166,0.88412,0.93269,0.92205,0.50801,0.92076,0.96154,0.95998,0.8893,1.39891,0.4099,0.03369,0.992,1.31536,0.00147446,0.00147446,0.00147446
9,176.955,1.44782,0.63784,0.17882,0.98434,1.24759,0.87779,0.94231,0.93199,0.54157,0.608,0.65865,0.58493,0.5321,1.294,3.30798,0.04426,0.8501,1.2375,0.00144696,0.00144696,0.00144696
10,195.889,1.44253,0.63296,0.16637,0.96962,1.23946,0.85233,0.93227,0.90021,0.50246,0.84575,0.92785,0.87722,0.7616,1.38449,0.95403,0.04961,0.8774,1.23598,0.00141945,0.00141945,0.00141945
11,214.908,1.42408,0.61509,0.15514,0.97203,1.22685,0.93642,0.96794,0.96389,0.53836,0.85735,0.88461,0.84129,0.80582,1.39567,1.15851,0.02607,0.80519,1.23328,0.00139195,0.00139195,0.00139195
12,233.653,1.41516,0.55225,0.14141,0.94558,1.21561,0.89128,0.93269,0.91687,0.52728,0.94091,0.98077,0.97315,0.94157,1.35171,0.32396,0.03553,0.8615,1.23362,0.00136444,0.00136444,0.00136444
13,252.499,1.40491,0.58475,0.13846,0.95279,1.21593,0.93697,0.96154,0.95182,0.5254,0.94718,0.97115,0.96002,0.93423,1.31963,0.35017,0.02111,0.85776,1.23519,0.00133693,0.00133693,0.00133693
